Time,Text,Image
1850,0.742647059,0.257352941
1860,0.732600733,0.267399267
1870,0.726618705,0.273381295
1880,0.708955224,0.291044776
1890,0.718518519,0.281481481
1900,0.721189591,0.278810409
1910,0.716911765,0.283088235
1920,0.720430108,0.279569892
1930,0.71942446,0.28057554
1940,0.716363636,0.283636364
1950,0.71969697,0.28030303
1960,0.727272727,0.272727273
1970,0.731343284,0.268656716
1980,0.72659176,0.27340824
1990,0.733576642,0.266423358
2000,0.715328467,0.284671533
2010,0.720588235,0.279411765
2020,0.718518519,0.281481481
2030,0.72243346,0.27756654
2040,0.722222222,0.277777778
2050,0.705454545,0.294545455
2060,0.706521739,0.293478261
2070,0.721014493,0.278985507
2080,0.724381625,0.275618375
2090,0.725352113,0.274647887
2100,0.725352113,0.274647887
2110,0.71942446,0.28057554
2120,0.71886121,0.28113879
2130,0.710714286,0.289285714
2140,0.72962963,0.27037037
2150,0.731343284,0.268656716
2160,0.722021661,0.277978339
2170,0.711678832,0.288321168
2180,0.695970696,0.304029304
2190,0.687272727,0.312727273
2200,0.683823529,0.316176471
2210,0.678832117,0.321167883
2220,0.67032967,0.32967033
2230,0.666666667,0.333333333
2240,0.677902622,0.322097378
2250,0.688888889,0.311111111
2260,0.697761194,0.302238806
2270,0.694339623,0.305660377
2280,0.702205882,0.297794118
2290,0.686346863,0.313653137
2300,0.682835821,0.317164179
2310,0.686567164,0.313432836
2320,0.701107011,0.298892989
2330,0.691449814,0.308550186
2340,0.688888889,0.311111111
2350,0.683018868,0.316981132
2360,0.682835821,0.317164179
2370,0.679104478,0.320895522
2380,0.682656827,0.317343173
2390,0.682835821,0.317164179
2400,0.691176471,0.308823529
2410,0.690647482,0.309352518
2420,0.68401487,0.31598513
2430,0.681481481,0.318518519
2440,0.680608365,0.319391635
2450,0.685185185,0.314814815
2460,0.684410646,0.315589354
2470,0.690298507,0.309701493
2480,0.689922481,0.310077519
2490,0.685393258,0.314606742
2500,0.685606061,0.314393939
2510,0.687969925,0.312030075
2520,0.693726937,0.306273063
2530,0.688644689,0.311355311
2540,0.6900369,0.3099631
2550,0.679245283,0.320754717
2560,0.680769231,0.319230769
2570,0.690566038,0.309433962
2580,0.681318681,0.318681319
2590,0.677777778,0.322222222
2600,0.663003663,0.336996337
2610,0.658088235,0.341911765
2620,0.669201521,0.330798479
2630,0.679389313,0.320610687
2640,0.674418605,0.325581395
2650,0.682170543,0.317829457
2660,0.669201521,0.330798479
2670,0.664150943,0.335849057
2680,0.653846154,0.346153846
2690,0.653696498,0.346303502
2700,0.65,0.35
2710,0.65503876,0.34496124
2720,0.670542636,0.329457364
2730,0.6640625,0.3359375
2740,0.661417323,0.338582677
2750,0.666666667,0.333333333
2760,0.654761905,0.345238095
2770,0.650980392,0.349019608
2780,0.640926641,0.359073359
2790,0.627906977,0.372093023
2800,0.629343629,0.370656371
2810,0.6328125,0.3671875
2820,0.619230769,0.380769231
2830,0.624521073,0.375478927
2840,0.62992126,0.37007874
2850,0.634920635,0.365079365
2860,0.633204633,0.366795367
2870,0.631178707,0.368821293
2880,0.622222222,0.377777778
2890,0.619402985,0.380597015
2900,0.625468165,0.374531835
2910,0.625925926,0.374074074
2920,0.636029412,0.363970588
2930,0.640740741,0.359259259
2940,0.633333333,0.366666667
2950,0.630597015,0.369402985
2960,0.621722846,0.378277154
2970,0.63740458,0.36259542
2980,0.659090909,0.340909091
2990,0.660305344,0.339694656
3000,0.652671756,0.347328244
3010,0.653846154,0.346153846
3020,0.651162791,0.348837209
3030,0.65503876,0.34496124
3040,0.652671756,0.347328244
3050,0.639846743,0.360153257
3060,0.632411067,0.367588933
3070,0.640625,0.359375
3080,0.653696498,0.346303502
3090,0.653696498,0.346303502
3100,0.647058824,0.352941176
3110,0.661538462,0.338461538
3120,0.66023166,0.33976834
3130,0.644787645,0.355212355
3140,0.6484375,0.3515625
3150,0.655172414,0.344827586
3160,0.645914397,0.354085603
3170,0.640151515,0.359848485
3180,0.642023346,0.357976654
3190,0.639846743,0.360153257
3200,0.647509579,0.352490421
3210,0.648221344,0.351778656
3220,0.638888889,0.361111111
3230,0.637065637,0.362934363
3240,0.626923077,0.373076923
3250,0.622047244,0.377952756
3260,0.626923077,0.373076923
3270,0.626923077,0.373076923
3280,0.633587786,0.366412214
3290,0.626923077,0.373076923
3300,0.625,0.375
3310,0.6328125,0.3671875
3320,0.639215686,0.360784314
3330,0.641732283,0.358267717
3340,0.63671875,0.36328125
3350,0.62890625,0.37109375
3360,0.621621622,0.378378378
3370,0.619230769,0.380769231
3380,0.609848485,0.390151515
3390,0.629343629,0.370656371
3400,0.631178707,0.368821293
3410,0.62962963,0.37037037
3420,0.620300752,0.379699248
3430,0.61302682,0.38697318
3440,0.616541353,0.383458647
3450,0.606060606,0.393939394
3460,0.613636364,0.386363636
3470,0.604562738,0.395437262
3480,0.615686275,0.384313725
3490,0.610894942,0.389105058
3500,0.603846154,0.396153846
3510,0.598455598,0.401544402
3520,0.607003891,0.392996109
3530,0.603053435,0.396946565
3540,0.61023622,0.38976378
3550,0.608695652,0.391304348
3560,0.595238095,0.404761905
3570,0.594488189,0.405511811
3580,0.60311284,0.39688716
3590,0.581132075,0.418867925
3600,0.572519084,0.427480916
3610,0.580769231,0.419230769
3620,0.582375479,0.417624521
3630,0.582706767,0.417293233
3640,0.579545455,0.420454545
3650,0.588014981,0.411985019
3660,0.59057971,0.40942029
3670,0.585454545,0.414545455
3680,0.584837545,0.415162455
3690,0.597744361,0.402255639
3700,0.606870229,0.393129771
3710,0.606177606,0.393822394
3720,0.596078431,0.403921569
3730,0.605363985,0.394636015
3740,0.603846154,0.396153846
3750,0.610894942,0.389105058
3760,0.624031008,0.375968992
3770,0.624521073,0.375478927
